Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
1,200	-0,15	0,021	4,800	-0,23	-5,339E-4	4,800	-0,24	9,006E-4	4,800	0,04	8,690E-4	4,800	-0,23	9,988E-4	4,800	-0,12	7,133E-4	4,800	0,07	8,680E-4	4,800	-0,11	7,683E-4	4,800	0,08	9,360E-4
1,225	-0,17	-0,033	4,900	-0,24	-0,003	4,900	-0,24	9,125E-4	4,900	-0,01	8,712E-4	4,900	-0,18	0,001	4,900	-0,12	8,296E-4	4,900	0,15	9,210E-4	4,900	-0,12	4,437E-4	4,900	0,06	9,540E-4
1,250	-0,25	0,021	5,000	-0,24	-0,003	5,000	-0,24	9,152E-4	5,000	-0,04	8,964E-4	5,000	-0,14	0,001	5,000	-0,12	9,880E-4	5,000	0,04	8,984E-4	5,000	-0,12	-5,276E-4	5,000	0,07	9,270E-4
1,275	-0,18	-0,028	5,100	-0,24	0,005	5,100	-0,24	8,845E-4	5,100	0,03	9,047E-4	5,100	-0,11	0,001	5,100	-0,12	0,001	5,100	0,01	9,248E-4	5,100	-0,12	-0,003	5,100	0,07	9,039E-4
1,300	-0,30	0,016	5,200	-0,24	0,005	5,200	-0,24	8,926E-4	5,200	0,05	8,733E-4	5,200	-0,12	0,002	5,200	-0,12	0,001	5,200	0,09	9,055E-4	5,200	-0,11	-0,003	5,200	0,07	9,430E-4
1,325	-0,43	-0,037	5,300	-0,24	0,002	5,300	-0,24	9,016E-4	5,300	-0,08	8,920E-4	5,300	-0,13	0,003	5,300	-0,12	0,002	5,300	0,14	9,127E-4	5,300	-0,12	0,005	5,300	0,06	9,548E-4
1,350	-0,22	0,022	5,400	-0,25	0,001	5,400	-0,24	9,115E-4	5,400	-0,12	8,734E-4	5,400	-0,13	0,006	5,400	-0,12	0,004	5,400	-0,01	8,566E-4	5,400	-0,12	0,005	5,400	0,07	9,454E-4
1,375	-0,18	-0,033	5,500	-0,24	0,001	5,500	-0,24	9,501E-4	5,500	-0,10	8,727E-4	5,500	-0,11	0,003	5,500	-0,12	0,008	5,500	0,06	9,069E-4	5,500	-0,11	0,002	5,500	0,07	9,150E-4
1,400	-0,33	0,023	5,600	-0,24	9,640E-4	5,600	-0,25	9,211E-4	5,600	-0,08	8,286E-4	5,600	-0,13	-0,005	5,600	-0,12	0,004	5,600	0,11	9,495E-4	5,600	-0,12	0,001	5,600	0,07	9,496E-4
1,425	-0,20	-0,016	5,700	-0,24	8,588E-4	5,700	-0,24	9,572E-4	5,700	-0,10	8,436E-4	5,700	-0,13	-0,002	5,700	-0,12	-0,007	5,700	0,08	9,232E-4	5,700	-0,12	9,971E-4	5,700	0,08	9,116E-4
1,450	-0,12	0,009	5,800	-0,24	5,953E-4	5,800	-0,24	9,442E-4	5,800	-0,10	8,429E-4	5,800	-0,13	-3,495E-4	5,800	-0,12	-0,004	5,800	-0,04	9,380E-4	5,800	-0,12	8,224E-4	5,800	0,07	9,456E-4
